id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326266624069029890,1326257303641788419,2020-11-10 14:52:58 Central Standard Time,2020-11-10,14:52:58,-0600,3050461146,cattisanerd,catt,,@novakwinchester @luke_h618 They’re so insanely dumb,en,[],[],[],1,0,2,[],[],https://twitter.com/CattIsANerd/status/1326266624069029890,False,,0,,,,,,,,"[{'screen_name': 'novakwinchester', 'name': 'Eli', 'id': '1247288885878697984'}, {'screen_name': 'luke_h618', 'name': 'Call me Luke🕸🕸| Shut me up!! Oct 30', 'id': '1229514572559716352'}]",,,,
1326254992467046401,1326248020724379653,2020-11-10 14:06:45 Central Standard Time,2020-11-10,14:06:45,-0600,3050461146,cattisanerd,catt,,@thiswaywardship He’s amazing!,en,[],[],[],0,0,2,[],[],https://twitter.com/CattIsANerd/status/1326254992467046401,False,,0,,,,,,,,"[{'screen_name': 'thiswaywardship', 'name': 'Wayward Shipper', 'id': '726967684664008704'}]",,,,
1326250405370716168,1326249888238071808,2020-11-10 13:48:31 Central Standard Time,2020-11-10,13:48:31,-0600,3050461146,cattisanerd,catt,,"@goodby3fornow Now I can’t unsee it, thanks",en,[],[],[],0,0,2,[],[],https://twitter.com/CattIsANerd/status/1326250405370716168,False,,0,,,,,,,,"[{'screen_name': 'goodby3fornow', 'name': 's-k-i-a', 'id': '1259260779020251136'}]",,,,
1326249485140451329,1326248904074153984,2020-11-10 13:44:52 Central Standard Time,2020-11-10,13:44:52,-0600,3050461146,cattisanerd,catt,,@MaddieBLovesGH There’s an article where they use the word “lust” in relation to Sam and Dean.,en,[],[],[],1,0,1,[],[],https://twitter.com/CattIsANerd/status/1326249485140451329,False,,0,,,,,,,,"[{'screen_name': 'MaddieBLovesGH', 'name': 'Maddie Bullock', 'id': '525922114'}]",,,,
1326248904074153984,1326248904074153984,2020-11-10 13:42:33 Central Standard Time,2020-11-10,13:42:33,-0600,3050461146,cattisanerd,catt,,"Hey #SPNFamily, I fully agree that TV Guide is wrong for publishing that article, but can we please NOT cancel the entire site/company? It was just ONE person out of the many who work there. You can still enjoy their content, just be mad at the one person. Don’t punish everybody.",en,[],[],[],1,0,2,['spnfamily'],[],https://twitter.com/CattIsANerd/status/1326248904074153984,False,,0,,,,,,,,[],,,,
1326248204858429440,1326248204858429440,2020-11-10 13:39:47 Central Standard Time,2020-11-10,13:39:47,-0600,3050461146,cattisanerd,catt,,Bibros can rot. Full offense.,en,[],[],[],0,0,1,[],[],https://twitter.com/CattIsANerd/status/1326248204858429440,False,https://twitter.com/nickelkeep/status/1326153165788557318,0,,,,,,,,[],,,,
1326248020724379653,1326248020724379653,2020-11-10 13:39:03 Central Standard Time,2020-11-10,13:39:03,-0600,3050461146,cattisanerd,catt,,"He is one of the BEST writers of the show. People don’t give the writers enough credit, and especially him and Andrew Dabb. Y’all are too quick to hate on them, and ignore all the things they’ve given us that were generally loved by fans...",en,[],[],[],2,0,3,[],[],https://twitter.com/CattIsANerd/status/1326248020724379653,False,https://twitter.com/thiswaywardship/status/1326158857287110656,0,,,,,,,,[],,,,
1326246776660226057,1326010693125025792,2020-11-10 13:34:06 Central Standard Time,2020-11-10,13:34:06,-0600,3050461146,cattisanerd,catt,,@HRZONE2 @swampgirl @mishtheuniverse @xSimply_Mishax Unfortunately some are saying they’re never buying their magazine again...,en,[],[],[],0,0,2,[],[],https://twitter.com/CattIsANerd/status/1326246776660226057,False,,0,,,,,,,,"[{'screen_name': 'HRZONE2', 'name': 'HR | Sculptor', 'id': '1072000369'}, {'screen_name': 'swampgirl', 'name': 'Swampgirl 🐊', 'id': '16171432'}, {'screen_name': 'mishtheuniverse', 'name': 'dawn #CastielForever', 'id': '2392604065'}, {'screen_name': 'xSimply_Mishax', 'name': 'cami 🥀 spn spoilers', 'id': '1870240764'}]",,,,
1326119085575430151,1326118451472117762,2020-11-10 05:06:42 Central Standard Time,2020-11-10,05:06:42,-0600,3050461146,cattisanerd,catt,,@gabbiesbuick Same but can’t sleep,en,[],[],[],1,0,2,[],[],https://twitter.com/CattIsANerd/status/1326119085575430151,False,,0,,,,,,,,"[{'screen_name': 'gabbiesbuick', 'name': 'shut jim up 😡😡 BLM', 'id': '1166189183754522624'}]",,,,
1326118497294966786,1324633176438919169,2020-11-10 05:04:22 Central Standard Time,2020-11-10,05:04:22,-0600,3050461146,cattisanerd,catt,,@elly_may_b @Simply___Izzy @adamfergus It’s dehumanizing,en,[],[],[],0,0,2,[],[],https://twitter.com/CattIsANerd/status/1326118497294966786,False,,0,,,,,,,,"[{'screen_name': 'elly_may_b', 'name': 'Elly', 'id': '70952951'}, {'screen_name': 'Simply___Izzy', 'name': 'Izzy', 'id': '1313190179650367493'}, {'screen_name': 'adamfergus', 'name': 'Adam Fergus', 'id': '150924914'}]",,,,
1326116203774042113,1326116203774042113,2020-11-10 04:55:15 Central Standard Time,2020-11-10,04:55:15,-0600,3050461146,cattisanerd,catt,,Having bad blood with other Jared fans is just.... sucky.,en,[],[],[],0,0,1,[],[],https://twitter.com/CattIsANerd/status/1326116203774042113,False,,0,,,,,,,,[],,,,
1326116041911570432,1326116041911570432,2020-11-10 04:54:37 Central Standard Time,2020-11-10,04:54:37,-0600,3050461146,cattisanerd,catt,,"Need better Jared fans to follow. If you love Jared, as well as the rest of the cast and crew, and don’t hate on Supernatural, and I don’t already follow you, let me know....",en,[],[],[],2,0,9,[],[],https://twitter.com/CattIsANerd/status/1326116041911570432,False,,0,,,,,,,,[],,,,
1326102255305695233,1325613574689976321,2020-11-10 03:59:50 Central Standard Time,2020-11-10,03:59:50,-0600,3050461146,cattisanerd,catt,,"@PeterKitch What are you, psychic or something?",en,[],[],[],0,0,1,[],[],https://twitter.com/CattIsANerd/status/1326102255305695233,False,,0,,,,,,,,"[{'screen_name': 'PeterKitch', 'name': 'Peter Kitch', 'id': '22559840'}]",,,,
1326097779651973121,1326097779651973121,2020-11-10 03:42:03 Central Standard Time,2020-11-10,03:42:03,-0600,3050461146,cattisanerd,catt,,"Supernatural means the world to me, so if I see any hate for the finale next week, I’m blocking.",en,[],[],[],0,0,4,[],[],https://twitter.com/CattIsANerd/status/1326097779651973121,False,,0,,,,,,,,[],,,,
1326082066392346624,1326077254460268549,2020-11-10 02:39:36 Central Standard Time,2020-11-10,02:39:36,-0600,3050461146,cattisanerd,catt,,@Ellisayssmile It’s not fair!!!!!!!!!,en,[],[],[],1,0,2,[],[],https://twitter.com/CattIsANerd/status/1326082066392346624,False,,0,,,,,,,,"[{'screen_name': 'Ellisayssmile', 'name': 'Elli ✨🖤', 'id': '2788825693'}]",,,,
1326071770378625024,1326068978708434946,2020-11-10 01:58:41 Central Standard Time,2020-11-10,01:58:41,-0600,3050461146,cattisanerd,catt,,@horrormuseum I won’t. I’ve probably seen worse to be honest,en,[],[],[],1,0,2,[],[],https://twitter.com/CattIsANerd/status/1326071770378625024,False,,0,,,,,,,,"[{'screen_name': 'horrormuseum', 'name': 'Hollywood Horror Museum🎃', 'id': '3129095509'}]",,,,
