id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326287309814128642,1326286671181197318,2020-11-10 16:15:10 Central Standard Time,2020-11-10,16:15:10,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@lFlNELlNE use castor oil!!,en,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326287309814128642,False,,0,,,,,,,,"[{'screen_name': 'lFlNELlNE', 'name': 'sav misses frat boy/fetus era', 'id': '1200933482056364033'}]",,,,
1326286664466001920,1326286337100623874,2020-11-10 16:12:36 Central Standard Time,2020-11-10,16:12:36,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@92BETTERX your whole account is so positive and uplifting and for that thank you,en,[],[],[],1,0,1,[],[],https://twitter.com/G0LDENSK1N/status/1326286664466001920,False,,0,,,,,,,,"[{'screen_name': '92BETTERX', 'name': 'em¹ᴰ ♡’s nashe supremacy', 'id': '1264026634702782470'}]",,,,
1326286039846162433,1326285590455857152,2020-11-10 16:10:07 Central Standard Time,2020-11-10,16:10:07,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@lFlNELlNE sav try putting castor oil through the roots so it'll grow faster😭. i shaved my eyebrows last summer and used that and it grew back before school started,en,[],[],[],1,0,2,[],[],https://twitter.com/G0LDENSK1N/status/1326286039846162433,False,,0,,,,,,,,"[{'screen_name': 'lFlNELlNE', 'name': 'sav misses frat boy/fetus era', 'id': '1200933482056364033'}]",,,,
1326285435694407681,1326281239725223938,2020-11-10 16:07:43 Central Standard Time,2020-11-10,16:07:43,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@lFlNELlNE HELP,en,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326285435694407681,False,,0,,,,,,,,"[{'screen_name': 'lFlNELlNE', 'name': 'sav misses frat boy/fetus era', 'id': '1200933482056364033'}]",,,,
1326285260389195777,1326285260389195777,2020-11-10 16:07:01 Central Standard Time,2020-11-10,16:07:01,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,i think the edit is disturbing some people? maybe put a trigger warning when mentioning it pls,en,[],[],[],0,1,3,[],[],https://twitter.com/G0LDENSK1N/status/1326285260389195777,False,,0,,,,,,,,[],,,,
1326284919815901189,1326284742971576320,2020-11-10 16:05:40 Central Standard Time,2020-11-10,16:05:40,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@jalboyhamirah my eyes,en,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326284919815901189,False,,0,,,,,,,,"[{'screen_name': 'jalboyhamirah', 'name': 'amirah🦋has a secret', 'id': '1244458567475826688'}]",,,,
1326284795907772416,1326284795907772416,2020-11-10 16:05:11 Central Standard Time,2020-11-10,16:05:11,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,ziam ain't real and if that edit made you feel ways the door,en,[],[],[],0,0,1,[],[],https://twitter.com/G0LDENSK1N/status/1326284795907772416,False,,0,,,,,,,,[],,,,
1326284757122969600,1326283189644521473,2020-11-10 16:05:01 Central Standard Time,2020-11-10,16:05:01,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@ICARUSWALLS72 LMAO HOW'D YOU GET IT,en,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326284757122969600,False,,0,,,,,,,,"[{'screen_name': 'ICARUSWALLS72', 'name': 'Anna ~ ZOUIS SUPREMACY', 'id': '1290373516529766400'}]",,,,
1326284094976651264,1326283189644521473,2020-11-10 16:02:24 Central Standard Time,2020-11-10,16:02:24,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@ICARUSWALLS72 DID YOU SEARCH IT UP,en,[],[],[],2,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326284094976651264,False,,0,,,,,,,,"[{'screen_name': 'ICARUSWALLS72', 'name': 'Anna ~ ZOUIS SUPREMACY', 'id': '1290373516529766400'}]",,,,
1326284032703787008,1326283189644521473,2020-11-10 16:02:09 Central Standard Time,2020-11-10,16:02:09,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@raina_is_golden idk where the video is but its literal porn,en,[],[],[],1,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326284032703787008,False,,0,,,,,,,,"[{'screen_name': 'raina_is_golden', 'name': 'raina ☀️', 'id': '1321524639596793859'}]",,,,
1326283884619722752,1326283370687565826,2020-11-10 16:01:33 Central Standard Time,2020-11-10,16:01:33,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@jalboyhamirah LMAO NO,ht,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326283884619722752,False,,0,,,,,,,,"[{'screen_name': 'jalboyhamirah', 'name': 'amirah🦋has a secret', 'id': '1244458567475826688'}]",,,,
1326283839031799809,1326276593371635712,2020-11-10 16:01:23 Central Standard Time,2020-11-10,16:01:23,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@UpdateHLD so beautiful,en,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326283839031799809,False,,0,,,,,,,,"[{'screen_name': 'UpdateHLD', 'name': 'HL Daily', 'id': '49305033'}]",,,,
1326283712774877184,1326283189644521473,2020-11-10 16:00:52 Central Standard Time,2020-11-10,16:00:52,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@ICARUSWALLS72 it's literally porn,en,[],[],[],1,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326283712774877184,False,,0,,,,,,,,"[{'screen_name': 'ICARUSWALLS72', 'name': 'Anna ~ ZOUIS SUPREMACY', 'id': '1290373516529766400'}]",,,,
1326283628649738242,1326283189644521473,2020-11-10 16:00:32 Central Standard Time,2020-11-10,16:00:32,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@ICARUSWALLS72 i muted that video idk where it is,en,[],[],[],1,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326283628649738242,False,,0,,,,,,,,"[{'screen_name': 'ICARUSWALLS72', 'name': 'Anna ~ ZOUIS SUPREMACY', 'id': '1290373516529766400'}]",,,,
1326283189644521473,1326283189644521473,2020-11-10 15:58:48 Central Standard Time,2020-11-10,15:58:48,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,whoever made that ziam edit-,en,[],[],[],2,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326283189644521473,False,,0,,,,,,,,[],,,,
1326283084795240448,1326281948763983875,2020-11-10 15:58:23 Central Standard Time,2020-11-10,15:58:23,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@jalboyhamirah trust me when i say you don't want to see it,en,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326283084795240448,False,,0,,,,,,,,"[{'screen_name': 'jalboyhamirah', 'name': 'amirah🦋has a secret', 'id': '1244458567475826688'}]",,,,
1326283005665501185,1326281948763983875,2020-11-10 15:58:04 Central Standard Time,2020-11-10,15:58:04,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@jalboyhamirah no,und,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326283005665501185,False,,0,,,,,,,,"[{'screen_name': 'jalboyhamirah', 'name': 'amirah🦋has a secret', 'id': '1244458567475826688'}]",,,,
1326273817468006400,1326272953827405825,2020-11-10 15:21:33 Central Standard Time,2020-11-10,15:21:33,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@sivistif ugh,und,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326273817468006400,False,,0,,,,,,,,"[{'screen_name': 'sivistif', 'name': 'sivi predicts', 'id': '1179292847620706304'}]",,,,
1326272383284514816,1326271678020726784,2020-11-10 15:15:51 Central Standard Time,2020-11-10,15:15:51,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@hscherrymeds your username jkjk,en,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326272383284514816,False,,0,,,,,,,,"[{'screen_name': 'hscherrymeds', 'name': 'vic loves her moots', 'id': '1251556290054238208'}]",,,,
1326272322999738368,1326271678020726784,2020-11-10 15:15:37 Central Standard Time,2020-11-10,15:15:37,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@hscherrymeds pretty flowers or something,en,[],[],[],0,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326272322999738368,False,,0,,,,,,,,"[{'screen_name': 'hscherrymeds', 'name': 'vic loves her moots', 'id': '1251556290054238208'}]",,,,
1326272175565778944,1326269848960299027,2020-11-10 15:15:02 Central Standard Time,2020-11-10,15:15:02,-0600,1279611957633409024,g0ldensk1n,marie¹ᴰ ♡'s louis,,@poursunshine i'm not a larry nor an anti but why do antis try so hard to be like the mean kid in school 😭,en,[],[],[],1,0,0,[],[],https://twitter.com/G0LDENSK1N/status/1326272175565778944,False,,0,,,,,,,,"[{'screen_name': 'poursunshine', 'name': 'sarah🔖', 'id': '1317915551730196481'}]",,,,
