id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1325577500756480001,1325577496415379458,2020-11-08 17:14:38 Central Standard Time,2020-11-08,17:14:38,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,#twitch #twitchemotes #twitchemoteartist #commission #artcommission #twitchaffiliate,und,[],[],[],0,0,0,"['twitch', 'twitchemotes', 'twitchemoteartist', 'commission', 'artcommission', 'twitchaffiliate']",[],https://twitter.com/MarcusM80/status/1325577500756480001,False,,0,,,,,,,,[],,,,
1325577499363979269,1325577496415379458,2020-11-08 17:14:38 Central Standard Time,2020-11-08,17:14:38,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"More importantly, if you liked these emotes, consider following @elleibored on Instagram, Twitter, Twitch and YouTube! And if you need art commissions yourself, please consider going to the link on her bio!",en,"[{'screen_name': 'elleibored', 'name': 'ellei ❤❤❤', 'id': '1277157968237129728'}]",[],[],2,0,1,[],[],https://twitter.com/MarcusM80/status/1325577499363979269,False,,0,,,,,,,,[],,,,
1325577498126671877,1325577496415379458,2020-11-08 17:14:38 Central Standard Time,2020-11-08,17:14:38,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"Gain these emotes to use on Twitch when you subscribe! Along with watching my streams in an ad-free experience, you gain my exclusive emotes to use in any stream you tune into!",en,[],[],[],1,0,0,[],[],https://twitter.com/MarcusM80/status/1325577498126671877,False,,0,,,,,,,,[],,,,
1325577496415379458,1325577496415379458,2020-11-08 17:14:37 Central Standard Time,2020-11-08,17:14:37,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"Please please PLEASE go follow this artist, she’s a gud egg who did these lovely emotes for my Twitch! @elleibored  https://t.co/IeBmAICxQz",en,"[{'screen_name': 'elleibored', 'name': 'ellei ❤❤❤', 'id': '1277157968237129728'}]",[],['https://pbs.twimg.com/media/EmVltLSXIAk2z2X.jpg'],1,0,0,[],[],https://twitter.com/MarcusM80/status/1325577496415379458,False,,1,https://pbs.twimg.com/media/EmVltLSXIAk2z2X.jpg,,,,,,,[],,,,
1325372704220991488,1325130778372526080,2020-11-08 03:40:51 Central Standard Time,2020-11-08,03:40:51,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,@9eebo @oopshonen NANI?!?!,in,[],[],[],0,0,3,[],[],https://twitter.com/MarcusM80/status/1325372704220991488,False,,0,,,,,,,,"[{'screen_name': '9eebo', 'name': '⌦ 𝑱𝑬𝑬𝑩𝑶 🦈', 'id': '1077557263374708738'}, {'screen_name': 'oopshonen', 'name': 'Shikamaru', 'id': '1160961977537056768'}]",,,,
1325371582508900352,1325371573973504000,2020-11-08 03:36:24 Central Standard Time,2020-11-08,03:36:24,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"crazy thing after all to be as depressed as I always am, to be diagnosed with depression.",en,[],[],[],0,0,1,[],[],https://twitter.com/MarcusM80/status/1325371582508900352,False,,0,,,,,,,,[],,,,
1325371580562743298,1325371573973504000,2020-11-08 03:36:23 Central Standard Time,2020-11-08,03:36:23,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"I really would like to know the answer because even though I have spouts of depression which make me tend to focus on ruminating in the past, and focusing on what I don’t have NOW, it makes me wonder if this is all a part of human nature and that maybe perhaps it’s not such a",en,[],[],[],1,0,1,[],[],https://twitter.com/MarcusM80/status/1325371580562743298,False,,0,,,,,,,,[],,,,
1325371576804577285,1325371573973504000,2020-11-08 03:36:22 Central Standard Time,2020-11-08,03:36:22,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,but could it be perhaps that is it about the primal instinct of survival? As in wanting food to sustain the human body? Which can pertain to the human wanting happiness (or their vision of what happiness is)?,en,[],[],[],1,0,0,[],[],https://twitter.com/MarcusM80/status/1325371576804577285,False,,0,,,,,,,,[],,,,
1325371573973504000,1325371573973504000,2020-11-08 03:36:22 Central Standard Time,2020-11-08,03:36:22,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"Is it just me or does it seem like the human mind is just meant to focus on the things we don’t have than the things we do have? It’s not a feeling of jealousy (though those kinds of emotions can be involved, and/or not limited to: grief, greed, hate, lust and gluttony.),",en,[],[],[],1,0,1,[],[],https://twitter.com/MarcusM80/status/1325371573973504000,False,,0,,,,,,,,[],,,,
1325267148365770753,1325267148365770753,2020-11-07 20:41:25 Central Standard Time,2020-11-07,20:41:25,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Never thought I’d be back playing this game again but let’s go anyway I guess lol  https://t.co/BkhhPm55Xc   #DokiDokiLiteratureClub #anime #animegirls #datingsim #twitch #twitchstreamer #TwitchAffilate  https://t.co/5Q2Z76HAop,en,[],['http://www.twitch.tv/kingofbladesm80'],['https://pbs.twimg.com/media/EmRLckSXYAEfnh9.jpg'],0,0,1,"['dokidokiliteratureclub', 'anime', 'animegirls', 'datingsim', 'twitch', 'twitchstreamer', 'twitchaffilate']",[],https://twitter.com/MarcusM80/status/1325267148365770753,False,,1,https://pbs.twimg.com/media/EmRLckSXYAEfnh9.jpg,,,,,,,[],,,,
1324868166527430656,1324868166527430656,2020-11-06 18:16:00 Central Standard Time,2020-11-06,18:16:00,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Going back to basics tonight! Come watch me possibly rage at DCK tonight at 7 pm CDT!  https://t.co/dRvbVvpxZd   #twitchstreamer #twitchaffiliate #twitch #DonkeyKong #donkeykongcountry #dkc #dk  https://t.co/0I3wsiZaiV,en,[],['http://www.twitch.tv/KingOfBladesM80'],['https://pbs.twimg.com/media/EmLgk11W8AAyCmt.jpg'],0,0,0,"['twitchstreamer', 'twitchaffiliate', 'twitch', 'donkeykong', 'donkeykongcountry', 'dkc', 'dk']",[],https://twitter.com/MarcusM80/status/1324868166527430656,False,,1,https://pbs.twimg.com/media/EmLgk11W8AAyCmt.jpg,,,,,,,[],,,,
1324795487988449282,1324789763212279808,2020-11-06 13:27:12 Central Standard Time,2020-11-06,13:27:12,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"@misguidedd3 Nah, you know you still need me on your team  https://t.co/JBXuXSQwtB",en,[],[],['https://pbs.twimg.com/media/EmKeeS_X0AQZHdG.jpg'],0,0,0,[],[],https://twitter.com/MarcusM80/status/1324795487988449282,False,,1,https://pbs.twimg.com/media/EmKeeS_X0AQZHdG.jpg,,,,,,,"[{'screen_name': 'misguidedd3', 'name': 'misguided', 'id': '194741313'}]",,,,
1324781092717690881,1324781092717690881,2020-11-06 12:30:00 Central Standard Time,2020-11-06,12:30:00,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,“You stream Rocket League? Are you ever going to go pro?”  “Uhhh... no.”  https://t.co/BkhhPm55Xc  #twitch #twitchaffiliate #twitchhighlights #twitchclips #rocketleague #fail #epicfail  https://t.co/7Oq35YHJbl,en,[],['http://www.twitch.tv/kingofbladesm80'],[],0,0,2,"['twitch', 'twitchaffiliate', 'twitchhighlights', 'twitchclips', 'rocketleague', 'fail', 'epicfail']",[],https://twitter.com/MarcusM80/status/1324781092717690881,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1324781047238844416/pu/img/Y4wNr5ROkO0CnzKI.jpg,,,,,,,[],,,,
1324520879611629573,1324520879611629573,2020-11-05 19:16:00 Central Standard Time,2020-11-05,19:16:00,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"Closing off cross play days this week with #Minecraft, coming live on Twitch in a few moments!  https://t.co/dRvbVvpxZd   #twitch #twitchaffiliate #Crossplay  https://t.co/0UhsF44im0",en,[],['http://www.twitch.tv/KingOfBladesM80'],['https://pbs.twimg.com/media/EmGkuETXIAIRWd2.jpg'],0,0,1,"['minecraft', 'twitch', 'twitchaffiliate', 'crossplay']",[],https://twitter.com/MarcusM80/status/1324520879611629573,False,,1,https://pbs.twimg.com/media/EmGkuETXIAIRWd2.jpg,,,,,,,[],,,,
1324144379997655042,1324144379997655042,2020-11-04 18:19:56 Central Standard Time,2020-11-04,18:19:56,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"Playing some Fortnite tonight (hey, that rhymes lol) in about an hour! Come hang or come play if you so choose!   https://t.co/dRvbVvpxZd   #twitch #twitchaffiliate #Fortnite #Crossplay  https://t.co/XXn9HmS7ti",en,[],['http://www.twitch.tv/KingOfBladesM80'],['https://pbs.twimg.com/media/EmBOSvpXYAYn3ey.jpg'],1,1,3,"['twitch', 'twitchaffiliate', 'fortnite', 'crossplay']",[],https://twitter.com/MarcusM80/status/1324144379997655042,False,,1,https://pbs.twimg.com/media/EmBOSvpXYAYn3ey.jpg,,,,,,,[],,,,
1324061751458045955,1324060949158989824,2020-11-04 12:51:36 Central Standard Time,2020-11-04,12:51:36,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,@misguidedd3 Twas fun indeed 😋,en,[],[],[],0,0,1,[],[],https://twitter.com/MarcusM80/status/1324061751458045955,False,,0,,,,,,,,"[{'screen_name': 'misguidedd3', 'name': 'misguided', 'id': '194741313'}]",,,,
1323791198155350017,1323791198155350017,2020-11-03 18:56:31 Central Standard Time,2020-11-03,18:56:31,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Playing this game in about 30 minutes! Come watch me suck!   https://t.co/BkhhPm55Xc   #RocketLeague #twitch #twitchaffiliate #noob  https://t.co/KQThKqGOPB,en,[],['http://www.twitch.tv/kingofbladesm80'],['https://pbs.twimg.com/media/El8NE5zXUAADwGx.jpg'],0,0,1,"['rocketleague', 'twitch', 'twitchaffiliate', 'noob']",[],https://twitter.com/MarcusM80/status/1323791198155350017,False,,1,https://pbs.twimg.com/media/El8NE5zXUAADwGx.jpg,,,,,,,[],,,,
1323488713767309312,1323416993291272192,2020-11-02 22:54:33 Central Standard Time,2020-11-02,22:54:33,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,@itsmfmichi @Inferno144 @NoConViolence This is what’s wrong with most action in movies nowadays. All finesse and yet it’s hard to appreciate it when your eyes have to manage one shot per second,en,[],[],[],0,0,0,[],[],https://twitter.com/MarcusM80/status/1323488713767309312,False,,0,,,,,,,,"[{'screen_name': 'itsmfmichi', 'name': '🟪MF Michi🟪', 'id': '3347111681'}, {'screen_name': 'Inferno144', 'name': 'Inferno', 'id': '3817870512'}, {'screen_name': 'NoConViolence', 'name': 'No Context Violence', 'id': '1117710196682444800'}]",,,,
1323430434282348546,1323430432428466177,2020-11-02 19:02:58 Central Standard Time,2020-11-02,19:02:58,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"Btw, going live with Pokémon Yellow Nuzlocke Challenge in a few moments!   https://t.co/BkhhPm55Xc   #DokiDokiLiteratureClub #donkeykongcountry #pokemonyellow #nuzlocke #nuzlockechallenge #Minecraft #Fortnite #rocketleague #streamschedule #twitchaffiliate #twitch",en,[],['http://www.twitch.tv/kingofbladesm80'],[],0,0,0,"['dokidokiliteratureclub', 'donkeykongcountry', 'pokemonyellow', 'nuzlocke', 'nuzlockechallenge', 'minecraft', 'fortnite', 'rocketleague', 'streamschedule', 'twitchaffiliate', 'twitch']",[],https://twitter.com/MarcusM80/status/1323430434282348546,False,,0,,,,,,,,[],,,,
1323430432428466177,1323430432428466177,2020-11-02 19:02:57 Central Standard Time,2020-11-02,19:02:57,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"Here’s my stream schedule for this week! This week I’m starting a new tradition; cross platform week! One week per month, I’m opening the stream for people to come and play with me on stream! For more details, join my Discord server!  https://t.co/NReej65grz",en,[],[],['https://pbs.twimg.com/media/El3E9o_X0AEPd1L.jpg'],1,0,0,[],[],https://twitter.com/MarcusM80/status/1323430432428466177,False,,1,https://pbs.twimg.com/media/El3E9o_X0AEPd1L.jpg,,,,,,,[],,,,
1323085426018689032,1323085426018689032,2020-11-01 20:12:01 Central Standard Time,2020-11-01,20:12:01,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Hi,und,[],[],[],1,0,3,[],[],https://twitter.com/MarcusM80/status/1323085426018689032,False,,0,,,,,,,,[],,,,
1322807913493204994,1322807913493204994,2020-11-01 01:49:17 Central Standard Time,2020-11-01,01:49:17,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,“How was your Halloween?” *shows them this*    https://t.co/BkhhPm55Xc  #twitch #twitchhighlights #fivenightsatfreddys #twitchaffiliate  https://t.co/kGF0ufK0Oa,en,[],['http://www.twitch.tv/kingofbladesm80'],[],0,0,8,"['twitch', 'twitchhighlights', 'fivenightsatfreddys', 'twitchaffiliate']",[],https://twitter.com/MarcusM80/status/1322807913493204994,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1322807870468009985/pu/img/1GisY_TTlOwsBckM.jpg,,,,,,,[],,,,
1322730520875274240,1322730520875274240,2020-10-31 21:41:45 Central Daylight Time,2020-10-31,21:41:45,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Playing Five Nights At Freddy's! Come watch me get scured!  https://t.co/WULrifLOBP,en,[],['https://twitch.tv/kingofbladesm80'],[],0,0,1,[],[],https://twitter.com/MarcusM80/status/1322730520875274240,False,,0,,,,,,,,[],,,,
1322719825467183104,1322719824284438531,2020-10-31 20:59:15 Central Daylight Time,2020-10-31,20:59:15,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,#Twitch #twitchstreamer #TwitchAffilate #FiveNightsAtFreddys #halloweenstream,und,[],[],[],0,1,1,"['twitch', 'twitchstreamer', 'twitchaffilate', 'fivenightsatfreddys', 'halloweenstream']",[],https://twitter.com/MarcusM80/status/1322719825467183104,False,,0,,,,,,,,[],,,,
1322719824284438531,1322719824284438531,2020-10-31 20:59:15 Central Daylight Time,2020-10-31,20:59:15,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Going to be live on Twitch at  https://t.co/BkhhPm55Xc with @misguidedd3 in about 30 minutes! Going to be playing Five Nights at Freddy’s as well as other spooky things 🎃 At midnight I’ll be announcing who the lucky winner of the giveaway is!,en,"[{'screen_name': 'misguidedd3', 'name': 'misguided', 'id': '194741313'}]",['http://www.twitch.tv/kingofbladesm80'],[],1,1,2,[],[],https://twitter.com/MarcusM80/status/1322719824284438531,False,,0,,,,,,,,[],,,,
1322605439889121280,1322582499718012928,2020-10-31 13:24:44 Central Daylight Time,2020-10-31,13:24:44,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,@meghanstheworst Was it Repo: The Genetic Opera?,en,[],[],[],0,0,0,[],[],https://twitter.com/MarcusM80/status/1322605439889121280,False,,0,,,,,,,,"[{'screen_name': 'meghanstheworst', 'name': 'cosmonaut meg', 'id': '17630040'}]",,,,
1322568801846763520,1322568801846763520,2020-10-31 10:59:09 Central Daylight Time,2020-10-31,10:59:09,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Go follow @misguidedd3! She’s a mod on my channel and does her own streams and Tik Tok and other stuff! Go check her out!,en,"[{'screen_name': 'misguidedd3', 'name': 'midnight', 'id': '194741313'}]",[],[],1,0,3,[],[],https://twitter.com/MarcusM80/status/1322568801846763520,False,https://twitter.com/misguidedd3/status/1322549072855793664,0,,,,,,,,[],,,,
1322341214931341313,1322341214931341313,2020-10-30 19:54:48 Central Daylight Time,2020-10-30,19:54:48,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Playing The Last of Us for the first time! Come hang!   https://t.co/WULrifLOBP  #twitch #twitchaffiliate #thelastofus #blindplaythrough #twitchstreaming,en,[],['https://twitch.tv/kingofbladesm80'],[],0,0,1,"['twitch', 'twitchaffiliate', 'thelastofus', 'blindplaythrough', 'twitchstreaming']",[],https://twitter.com/MarcusM80/status/1322341214931341313,False,,0,,,,,,,,[],,,,
1322330826877657090,1322330826877657090,2020-10-30 19:13:31 Central Daylight Time,2020-10-30,19:13:31,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,There’s still time to enter in the $25 Amazon gift card giveaway! Tune in tonight and tomorrow to  https://t.co/BkhhPm55Xc and comment “!🎃” or “!pumpkin” to enter! The winner will be announced on Halloween at midnight! #twitchaffiliate #Giveaway #twitch #twitchstreaming,en,[],['http://www.twitch.tv/kingofbladesm80'],[],0,0,0,"['twitchaffiliate', 'giveaway', 'twitch', 'twitchstreaming']",[],https://twitter.com/MarcusM80/status/1322330826877657090,False,,0,,,,,,,,[],,,,
1322203616925700098,1322087098346856448,2020-10-30 10:48:02 Central Daylight Time,2020-10-30,10:48:02,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,"@ADre622 A double, mofo",fr,[],[],[],1,0,0,[],[],https://twitter.com/MarcusM80/status/1322203616925700098,False,,0,,,,,,,,"[{'screen_name': 'ADre622', 'name': 'Andrés Tejeda', 'id': '2714500055'}]",,,,
1322087098346856448,1322087098346856448,2020-10-30 03:05:02 Central Daylight Time,2020-10-30,03:05:02,-0600,389900633,marcusm80,MarcusGiovanniGarcia,,Because I can’t afford a double,en,[],[],[],1,0,2,[],[],https://twitter.com/MarcusM80/status/1322087098346856448,False,https://twitter.com/RavishingTP/status/1320098387740459009,0,,,,,,,,[],,,,
