id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326278990114426880,1326016160668680193,2020-11-10 15:42:06 Central Standard Time,2020-11-10,15:42:06,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,@SonicSoul_ Thanks Phil 💙,en,[],[],[],0,0,1,[],[],https://twitter.com/WH_Frenchy/status/1326278990114426880,False,,0,,,,,,,,"[{'screen_name': 'SonicSoul_', 'name': 'Sonic Soul | Phil', 'id': '2953637757'}]",,,,
1326136644890619904,1326016160668680193,2020-11-10 06:16:29 Central Standard Time,2020-11-10,06:16:29,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,"@PaperBag101 thanks perry, love you man &lt;3",en,[],[],[],0,0,1,[],[],https://twitter.com/WH_Frenchy/status/1326136644890619904,False,,0,,,,,,,,"[{'screen_name': 'PaperBag101', 'name': '_erry 🌏☄️🛸', 'id': '1143752513956356097'}]",,,,
1326110622883307520,1326016160668680193,2020-11-10 04:33:05 Central Standard Time,2020-11-10,04:33:05,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,@RenkixNMC Love you Jameson,en,[],[],[],0,0,1,[],[],https://twitter.com/WH_Frenchy/status/1326110622883307520,False,,0,,,,,,,,"[{'screen_name': 'RenkixNMC', 'name': 'NMC', 'id': '1281864198583025664'}]",,,,
1326091266648498177,1326016160668680193,2020-11-10 03:16:10 Central Standard Time,2020-11-10,03:16:10,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,@cheguava1 @frikkn_bot 💙,und,[],[],[],0,0,0,[],[],https://twitter.com/WH_Frenchy/status/1326091266648498177,False,,0,,,,,,,,"[{'screen_name': 'cheguava1', 'name': 'weed lord', 'id': '845431468570525697'}, {'screen_name': 'frikkn_bot', 'name': 'just a bot', 'id': '3266755837'}]",,,,
1326024194958610434,1326016160668680193,2020-11-09 22:49:39 Central Standard Time,2020-11-09,22:49:39,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,@lavvely_ 💙🥺 thanks lavely.,en,[],[],[],0,0,0,[],[],https://twitter.com/WH_Frenchy/status/1326024194958610434,False,,0,,,,,,,,"[{'screen_name': 'lavvely_', 'name': 'lav', 'id': '1271063219428298753'}]",,,,
1326018192527908865,1326016160668680193,2020-11-09 22:25:47 Central Standard Time,2020-11-09,22:25:47,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,"@d03ker Thanks do3ker, love you bud 💙",en,[],[],[],1,0,1,[],[],https://twitter.com/WH_Frenchy/status/1326018192527908865,False,,0,,,,,,,,"[{'screen_name': 'd03ker', 'name': 'd03ker', 'id': '1185551409799811072'}]",,,,
1326018083610263553,1326016160668680193,2020-11-09 22:25:22 Central Standard Time,2020-11-09,22:25:22,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,"@frikkn_bot Trying to keep optimistic, thanks bot 💙",en,[],[],[],1,0,1,[],[],https://twitter.com/WH_Frenchy/status/1326018083610263553,False,,0,,,,,,,,"[{'screen_name': 'frikkn_bot', 'name': 'just a bot', 'id': '3266755837'}]",,,,
1326016160668680193,1326016160668680193,2020-11-09 22:17:43 Central Standard Time,2020-11-09,22:17:43,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,"Well there's another one to add to the list, official been diagnosed with depression. Let's see how fucked up 2020 can get for me 😕",en,[],[],[],7,0,14,[],[],https://twitter.com/WH_Frenchy/status/1326016160668680193,False,,0,,,,,,,,[],,,,
1325603921109286913,1325603494196203521,2020-11-08 18:59:37 Central Standard Time,2020-11-08,18:59:37,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,@d03ker you got this homie!,en,[],[],[],1,0,1,[],[],https://twitter.com/WH_Frenchy/status/1325603921109286913,False,,0,,,,,,,,"[{'screen_name': 'd03ker', 'name': 'd03ker', 'id': '1185551409799811072'}]",,,,
1325598442593218561,1325595727746101249,2020-11-08 18:37:51 Central Standard Time,2020-11-08,18:37:51,-0600,838293923646713856,wh_frenchy,WH_Frenchy 💙,,@CHERROYttv 💙,und,[],[],[],0,0,1,[],[],https://twitter.com/WH_Frenchy/status/1325598442593218561,False,,0,,,,,,,,"[{'screen_name': 'CHERROYttv', 'name': 'Cherro/Cherry/Cheese/Roy/Chroy/Sherroy', 'id': '1136893914223300608'}]",,,,
