id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326170898685190147,1326152315431133184,2020-11-10 08:32:35 Central Standard Time,2020-11-10,08:32:35,-0600,3193288824,_karenaimee,mamacita,,@RozeGoldChain  https://t.co/FY2abXqbJq,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EmeBZjJXUAAmjYY.jpg'],0,0,1,[],[],https://twitter.com/_karenaimee/status/1326170898685190147,False,,1,https://pbs.twimg.com/tweet_video_thumb/EmeBZjJXUAAmjYY.jpg,,,,,,,[],,,,
1325189684553658371,1325189684553658371,2020-11-07 15:33:36 Central Standard Time,2020-11-07,15:33:36,-0600,3193288824,_karenaimee,mamacita,,I’m so FUCKING happy I haven’t seen pro trump posts today on any of my feeds!!!,en,[],[],[],0,1,14,[],[],https://twitter.com/_karenaimee/status/1325189684553658371,False,,0,,,,,,,,[],,,,
1325123813265170437,1325120406504824834,2020-11-07 11:11:51 Central Standard Time,2020-11-07,11:11:51,-0600,3193288824,_karenaimee,mamacita,,@emugly_ Fuck for real?!,en,[],[],[],0,0,0,[],[],https://twitter.com/_karenaimee/status/1325123813265170437,False,,0,,,,,,,,"[{'screen_name': 'emugly_', 'name': 'em (BLM)', 'id': '2788794547'}]",,,,
1325123314491092994,1325120406504824834,2020-11-07 11:09:52 Central Standard Time,2020-11-07,11:09:52,-0600,3193288824,_karenaimee,mamacita,,@emugly_ We drinking wine baaayyybbeed,en,[],[],[],1,0,1,[],[],https://twitter.com/_karenaimee/status/1325123314491092994,False,,0,,,,,,,,"[{'screen_name': 'emugly_', 'name': 'em (BLM)', 'id': '2788794547'}]",,,,
1324921441062580224,1324916222065053696,2020-11-06 21:47:42 Central Standard Time,2020-11-06,21:47:42,-0600,3193288824,_karenaimee,mamacita,,@emugly_ Literally didn’t see the sag 😅,en,[],[],[],1,0,0,[],[],https://twitter.com/_karenaimee/status/1324921441062580224,False,,0,,,,,,,,"[{'screen_name': 'emugly_', 'name': 'em (BLM)', 'id': '2788794547'}]",,,,
1324918191974309888,1324916222065053696,2020-11-06 21:34:47 Central Standard Time,2020-11-06,21:34:47,-0600,3193288824,_karenaimee,mamacita,,@emugly_  https://t.co/xgNzGCL9HE,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EmMOCj2UYAAoWOR.jpg'],1,0,0,[],[],https://twitter.com/_karenaimee/status/1324918191974309888,False,,1,https://pbs.twimg.com/tweet_video_thumb/EmMOCj2UYAAoWOR.jpg,,,,,,,[],,,,
1324915605682577408,1324886288344944641,2020-11-06 21:24:30 Central Standard Time,2020-11-06,21:24:30,-0600,3193288824,_karenaimee,mamacita,,@themitziivonne Damn that’s so nice!! Good vibes only!,en,[],[],[],0,0,0,[],[],https://twitter.com/_karenaimee/status/1324915605682577408,False,,0,,,,,,,,"[{'screen_name': 'themitziivonne', 'name': 'm i t z i', 'id': '784211260686471169'}]",,,,
1324914118034296834,1324880787108470795,2020-11-06 21:18:36 Central Standard Time,2020-11-06,21:18:36,-0600,3193288824,_karenaimee,mamacita,,@Reee_haaa_mmm Omg that sounds delicious!,en,[],[],[],0,0,0,[],[],https://twitter.com/_karenaimee/status/1324914118034296834,False,,0,,,,,,,,"[{'screen_name': 'Reee_haaa_mmm', 'name': 'Ri', 'id': '243371702'}]",,,,
1324902567097245696,1324902567097245696,2020-11-06 20:32:42 Central Standard Time,2020-11-06,20:32:42,-0600,3193288824,_karenaimee,mamacita,,"Me being diagnosed with depression, anxiety and PTSD  https://t.co/zTZulsAYdD",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EmL_3A5VMAA4xvm.jpg'],1,0,5,[],[],https://twitter.com/_karenaimee/status/1324902567097245696,False,,1,https://pbs.twimg.com/tweet_video_thumb/EmL_3A5VMAA4xvm.jpg,,,,,,,[],,,,
1324899016778240001,1324880787108470795,2020-11-06 20:18:35 Central Standard Time,2020-11-06,20:18:35,-0600,3193288824,_karenaimee,mamacita,,@Reee_haaa_mmm Omg oatmilk in coffee 💯,en,[],[],[],1,0,1,[],[],https://twitter.com/_karenaimee/status/1324899016778240001,False,,0,,,,,,,,"[{'screen_name': 'Reee_haaa_mmm', 'name': 'Ri', 'id': '243371702'}]",,,,
1324898862528520195,1324886288344944641,2020-11-06 20:17:58 Central Standard Time,2020-11-06,20:17:58,-0600,3193288824,_karenaimee,mamacita,,@themitziivonne I saw like 4 or 5 on my way home 😭,en,[],[],[],1,0,1,[],[],https://twitter.com/_karenaimee/status/1324898862528520195,False,,0,,,,,,,,"[{'screen_name': 'themitziivonne', 'name': 'm i t z i', 'id': '784211260686471169'}]",,,,
1324519507763752960,1324393434778664962,2020-11-05 19:10:33 Central Standard Time,2020-11-05,19:10:33,-0600,3193288824,_karenaimee,mamacita,,@finallyatease  https://t.co/E6O5MeGXTE,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EmGjdXqVcAIFlAA.jpg'],0,0,1,[],[],https://twitter.com/_karenaimee/status/1324519507763752960,False,,1,https://pbs.twimg.com/tweet_video_thumb/EmGjdXqVcAIFlAA.jpg,,,,,,,[],,,,
