id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326292189526290433,1326266793334333441,2020-11-10 16:34:33 Central Standard Time,2020-11-10,16:34:33,-0600,2250754078,madebypatch,Patch,,@Fullster101 @debrakidd Think you would do a better job??? Feel free to come and give it a go.,en,[],[],[],0,0,0,[],[],https://twitter.com/madebypatch/status/1326292189526290433,False,,0,,,,,,,,"[{'screen_name': 'Fullster101', 'name': 'Ian Fuller', 'id': '1286318421454577665'}, {'screen_name': 'debrakidd', 'name': 'Debra Kidd', 'id': '237904358'}]",,,,
1326204916080242690,1326133853958909952,2020-11-10 10:47:46 Central Standard Time,2020-11-10,10:47:46,-0600,2250754078,madebypatch,Patch,,@PrimaryHead2020 @Teacherglitter That is a brilliant picture.... One for the schools website.... Hmmm... Might need to recreate it... Just need a sunny day!,en,[],[],[],0,0,2,[],[],https://twitter.com/madebypatch/status/1326204916080242690,False,,0,,,,,,,,"[{'screen_name': 'PrimaryHead2020', 'name': 'Primary Head', 'id': '1280823022413373440'}, {'screen_name': 'Teacherglitter', 'name': 'Ceridwen Eccles', 'id': '876449876514664449'}]",,,,
1326204216491335682,1326088114272657409,2020-11-10 10:44:59 Central Standard Time,2020-11-10,10:44:59,-0600,2250754078,madebypatch,Patch,,@_MrsVern_ @Thelma_DWalker @ofsted Definitely think the length of time our Y6s can concentrate for has become less. Would also agree with reading stamina becoming less too.,en,[],[],[],0,0,1,[],[],https://twitter.com/madebypatch/status/1326204216491335682,False,,0,,,,,,,,"[{'screen_name': '_MrsVern_', 'name': 'MrsV', 'id': '20142940'}, {'screen_name': 'Thelma_DWalker', 'name': 'Thelma Walker', 'id': '2575651762'}, {'screen_name': 'ofsted', 'name': 'Abubakar', 'id': '152317505'}]",,,,
1325556042936283138,1325456685503279107,2020-11-08 15:49:22 Central Standard Time,2020-11-08,15:49:22,-0600,2250754078,madebypatch,Patch,,"@thegiddyteacher 😂😂  Still works as an excuse to make him go out for a walk, some fresh air and daylight.... Crazy beagle is more entertainment than calming therapy!!!",en,[],[],[],0,0,1,[],[],https://twitter.com/madebypatch/status/1325556042936283138,False,,0,,,,,,,,"[{'screen_name': 'thegiddyteacher', 'name': 'The Giddy Teacher', 'id': '2786495143'}]",,,,
1325545834231033858,1325456685503279107,2020-11-08 15:08:48 Central Standard Time,2020-11-08,15:08:48,-0600,2250754078,madebypatch,Patch,,"@thegiddyteacher Thank you, he's doing the right things and actively trying to ""get well"".",en,[],[],[],1,0,1,[],[],https://twitter.com/madebypatch/status/1325545834231033858,False,,0,,,,,,,,"[{'screen_name': 'thegiddyteacher', 'name': 'The Giddy Teacher', 'id': '2786495143'}]",,,,
1325545481154551812,1325456685503279107,2020-11-08 15:07:24 Central Standard Time,2020-11-08,15:07:24,-0600,2250754078,madebypatch,Patch,,@thegiddyteacher I wondered about something like that too. My Mum has a crazy beagle we could borrow.,en,[],[],[],1,0,1,[],[],https://twitter.com/madebypatch/status/1325545481154551812,False,,0,,,,,,,,"[{'screen_name': 'thegiddyteacher', 'name': 'The Giddy Teacher', 'id': '2786495143'}]",,,,
1325530017279975424,1325456685503279107,2020-11-08 14:05:57 Central Standard Time,2020-11-08,14:05:57,-0600,2250754078,madebypatch,Patch,,"@thegiddyteacher My boys would love one, my other half is considering it after recently being diagnosed with depression. I am resisting because I have a suspicion that when the novelty wears off it will just be another thing I have to do.",en,[],[],[],2,0,1,[],[],https://twitter.com/madebypatch/status/1325530017279975424,False,,0,,,,,,,,"[{'screen_name': 'thegiddyteacher', 'name': 'The Giddy Teacher', 'id': '2786495143'}]",,,,
1325526480567365632,1325378897618329603,2020-11-08 13:51:54 Central Standard Time,2020-11-08,13:51:54,-0600,2250754078,madebypatch,Patch,,@Misterbodd It's the teeth.... They should never have teeth!! 🤣🤣🤣🤣🤣🤣🤣🤣,en,[],[],[],0,0,1,[],[],https://twitter.com/madebypatch/status/1325526480567365632,False,,0,,,,,,,,"[{'screen_name': 'Misterbodd', 'name': 'Dean Boddington #GenericHashtag', 'id': '867374644059414529'}]",,,,
1325196919233146880,1323227696537677825,2020-11-07 16:02:21 Central Standard Time,2020-11-07,16:02:21,-0600,2250754078,madebypatch,Patch,,"@suefew @iwasid @MichaelRosenYes And some of the covidiots are so called ""celebrities"" who influence others whether they mean to or not #irresponsible",en,[],[],[],1,0,1,['irresponsible'],[],https://twitter.com/madebypatch/status/1325196919233146880,False,,0,,,,,,,,"[{'screen_name': 'suefew', 'name': 'Sue Fewster #POWA 🖐', 'id': '53783806'}, {'screen_name': 'iwasid', 'name': 'i was id', 'id': '178256726'}, {'screen_name': 'MichaelRosenYes', 'name': 'Michael Rosen', 'id': '91870534'}]",,,,
1325127707059916803,1325127707059916803,2020-11-07 11:27:19 Central Standard Time,2020-11-07,11:27:19,-0600,2250754078,madebypatch,Patch,,Totally agree.,en,[],[],[],0,0,0,[],[],https://twitter.com/madebypatch/status/1325127707059916803,False,https://twitter.com/smithsmm/status/1325039566982680578,0,,,,,,,,[],,,,
