id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326288831868497920,1326287813575401472,2020-11-10 16:21:13 Central Standard Time,2020-11-10,16:21:13,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@mementomark ur not annoying!♡ I love your work and you are showing us ur talent! keep doing u♡♡,en,[],[],[],0,0,0,[],[],https://twitter.com/markiscranky/status/1326288831868497920,False,,0,,,,,,,,"[{'screen_name': 'mementomark', 'name': 'amber ꩜', 'id': '1522831987'}]",,,,
1326286107064070144,1326285857377103872,2020-11-10 16:10:23 Central Standard Time,2020-11-10,16:10:23,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@mishascurls yeah♡,en,[],[],[],0,0,1,[],[],https://twitter.com/markiscranky/status/1326286107064070144,False,,0,,,,,,,,"[{'screen_name': 'mishascurls', 'name': 'jenna • I’ve got you', 'id': '1060344044121976837'}]",,,,
1326285857377103872,1326285857377103872,2020-11-10 16:09:24 Central Standard Time,2020-11-10,16:09:24,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,not swps giving each other our phone numbers,en,[],[],[],1,0,1,[],[],https://twitter.com/markiscranky/status/1326285857377103872,False,,0,,,,,,,,[],,,,
1326282895951081473,1326282296660389888,2020-11-10 15:57:38 Central Standard Time,2020-11-10,15:57:38,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@eef_nestor who would u go with,en,[],[],[],0,0,0,[],[],https://twitter.com/markiscranky/status/1326282895951081473,False,,0,,,,,,,,"[{'screen_name': 'eef_nestor', 'name': 'eef', 'id': '1311437799791292416'}]",,,,
1326274175904993285,1326273758471090176,2020-11-10 15:22:59 Central Standard Time,2020-11-10,15:22:59,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@crabbycrabzz i- so many people are saying no- we only refrigerate our maple syrup not the normal kind lol,en,[],[],[],0,0,2,[],[],https://twitter.com/markiscranky/status/1326274175904993285,False,,0,,,,,,,,"[{'screen_name': 'crabbycrabzz', 'name': 'elliot🍷 ⧖ 3', 'id': '1021140653139529728'}]",,,,
1326272421066928129,1326268560558051328,2020-11-10 15:16:00 Central Standard Time,2020-11-10,15:16:00,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@ughhotch ily :( ♡ be safe♡♡,en,[],[],[],0,0,1,[],[],https://twitter.com/markiscranky/status/1326272421066928129,False,,0,,,,,,,,"[{'screen_name': 'ughhotch', 'name': '!!', 'id': '1259462217348468736'}]",,,,
1326262175460184069,1326262175460184069,2020-11-10 14:35:18 Central Standard Time,2020-11-10,14:35:18,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,LOOK AT HIM🥺  https://t.co/O1aVb7ZKlA,en,[],[],"['https://pbs.twimg.com/media/EmfUaQgXEAwQj47.jpg', 'https://pbs.twimg.com/media/EmfUabuXIAgFM5B.jpg', 'https://pbs.twimg.com/media/EmfUaoSXUAUMtzu.jpg', 'https://pbs.twimg.com/media/EmfUa0qW4AwCjhb.jpg']",0,0,5,[],[],https://twitter.com/markiscranky/status/1326262175460184069,False,,1,https://pbs.twimg.com/media/EmfUaQgXEAwQj47.jpg,,,,,,,[],,,,
1326262115670351872,1326262115670351872,2020-11-10 14:35:03 Central Standard Time,2020-11-10,14:35:03,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,LOOK AT THEMMM  https://t.co/qu0017EjiK,en,[],[],"['https://pbs.twimg.com/media/EmfUWwFXcAMXV9m.jpg', 'https://pbs.twimg.com/media/EmfUW8jWEAEA0KT.jpg', 'https://pbs.twimg.com/media/EmfUXIyXcAEwkHK.jpg', 'https://pbs.twimg.com/media/EmfUXVHW4AE226T.jpg']",0,1,11,[],[],https://twitter.com/markiscranky/status/1326262115670351872,False,,1,https://pbs.twimg.com/media/EmfUWwFXcAMXV9m.jpg,,,,,,,[],,,,
1326262031335428105,1326262031335428105,2020-11-10 14:34:43 Central Standard Time,2020-11-10,14:34:43,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,THIS VID WAS SO CHAOTIC,en,[],[],[],0,0,2,[],[],https://twitter.com/markiscranky/status/1326262031335428105,False,,0,,,,,,,,[],,,,
1326233332271771650,1326232288963653632,2020-11-10 12:40:41 Central Standard Time,2020-11-10,12:40:41,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@eef_nestor @neatdude I LOVE,en,[],[],[],0,0,0,[],[],https://twitter.com/markiscranky/status/1326233332271771650,False,,0,,,,,,,,"[{'screen_name': 'eef_nestor', 'name': 'eef', 'id': '1311437799791292416'}, {'screen_name': 'neatdude', 'name': 'Neat Dude', 'id': '93911959'}]",,,,
1326231271182364673,1326174182766342146,2020-11-10 12:32:29 Central Standard Time,2020-11-10,12:32:29,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@kidthearts THE WAY I LOVE THIS,en,[],[],[],0,0,1,[],[],https://twitter.com/markiscranky/status/1326231271182364673,False,,0,,,,,,,,"[{'screen_name': 'kidthearts', 'name': 'annus | javi ⌛', 'id': '1195744011153068032'}]",,,,
1326220402901868544,1325926767111118849,2020-11-10 11:49:18 Central Standard Time,2020-11-10,11:49:18,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@crankmarkplays diy cheese!,hi,[],[],[],0,0,1,[],[],https://twitter.com/markiscranky/status/1326220402901868544,False,,0,,,,,,,,"[{'screen_name': 'crankmarkplays', 'name': 'Should my name be here?', 'id': '1320136308212305921'}]",,,,
1326212891134058496,1326205027514527744,2020-11-10 11:19:27 Central Standard Time,2020-11-10,11:19:27,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@Ethan_is_baby ur so valid! im proud of u♡,en,[],[],[],0,0,1,[],[],https://twitter.com/markiscranky/status/1326212891134058496,False,,0,,,,,,,,"[{'screen_name': 'Ethan_is_baby', 'name': 'Ethan is a bean', 'id': '1251300428073054211'}]",,,,
1326208563522527238,1326202924637319169,2020-11-10 11:02:15 Central Standard Time,2020-11-10,11:02:15,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@CoolPewds13 thank u🥺❤,en,[],[],[],0,0,1,[],[],https://twitter.com/markiscranky/status/1326208563522527238,False,,0,,,,,,,,"[{'screen_name': 'CoolPewds13', 'name': 'Reut🌙 |unus|', 'id': '985082812419239936'}]",,,,
1326203643805175813,1326203446907854848,2020-11-10 10:42:43 Central Standard Time,2020-11-10,10:42:43,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@Kayleigh_Bxo first!,en,[],[],[],1,0,1,[],[],https://twitter.com/markiscranky/status/1326203643805175813,False,,0,,,,,,,,"[{'screen_name': 'Kayleigh_Bxo', 'name': 'unus', 'id': '984506659035910144'}]",,,,
1326203082158583813,1326194304885415943,2020-11-10 10:40:29 Central Standard Time,2020-11-10,10:40:29,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@crabbycrabzz 1 man 100 accents mark and ethan get into a fight and the military course on with james,en,[],[],[],0,0,2,[],[],https://twitter.com/markiscranky/status/1326203082158583813,False,,0,,,,,,,,"[{'screen_name': 'crabbycrabzz', 'name': 'elliot🍷 ⧖ 3', 'id': '1021140653139529728'}]",,,,
1326202924637319169,1326202924637319169,2020-11-10 10:39:51 Central Standard Time,2020-11-10,10:39:51,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,me?? being pretty?? idk maybe🏃‍♀️  https://t.co/MWBwlZvWnV,en,[],[],"['https://pbs.twimg.com/media/EmeehM2WEAY6owv.jpg', 'https://pbs.twimg.com/media/EmeehxWXYAAwnUO.jpg']",1,0,6,[],[],https://twitter.com/markiscranky/status/1326202924637319169,False,,1,https://pbs.twimg.com/media/EmeehM2WEAY6owv.jpg,,,,,,,[],,,,
1326176871428599810,1326167895026655234,2020-11-10 08:56:19 Central Standard Time,2020-11-10,08:56:19,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@juicyspence :((,und,[],[],[],0,0,1,[],[],https://twitter.com/markiscranky/status/1326176871428599810,False,,0,,,,,,,,"[{'screen_name': 'juicyspence', 'name': 'paloma🌚', 'id': '1270578235840122880'}]",,,,
1326169426190872579,1326167895026655234,2020-11-10 08:26:44 Central Standard Time,2020-11-10,08:26:44,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@joanna_dm_1998 ouu fun! I'm outside rn at school bc of study hall😃,en,[],[],[],0,0,1,[],[],https://twitter.com/markiscranky/status/1326169426190872579,False,,0,,,,,,,,"[{'screen_name': 'joanna_dm_1998', 'name': 'Joanna 1998', 'id': '1051463629676179459'}]",,,,
1326168418073141248,1326167895026655234,2020-11-10 08:22:44 Central Standard Time,2020-11-10,08:22:44,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@mementomark hi! :D how are u? :),en,[],[],[],0,0,0,[],[],https://twitter.com/markiscranky/status/1326168418073141248,False,,0,,,,,,,,"[{'screen_name': 'mementomark', 'name': 'amber ꩜', 'id': '1522831987'}]",,,,
1326168208609595393,1326167895026655234,2020-11-10 08:21:54 Central Standard Time,2020-11-10,08:21:54,-0600,1146546056496373761,markiscranky,Val ⌛| 289:12:00:00,,@joanna_dm_1998 hi :D hru,in,[],[],[],1,0,1,[],[],https://twitter.com/markiscranky/status/1326168208609595393,False,,0,,,,,,,,"[{'screen_name': 'joanna_dm_1998', 'name': 'Joanna 1998', 'id': '1051463629676179459'}]",,,,
