id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326202548601167872,1326202548601167872,2020-11-10 10:38:21 Central Standard Time,2020-11-10,10:38:21,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,just got diagnosed with severe depression n anxiety 🤠👍🏼,en,[],[],[],0,0,0,[],[],https://twitter.com/naivestrawberry/status/1326202548601167872,False,,0,,,,,,,,[],,,,
1325566212928114694,1325566212928114694,2020-11-08 16:29:47 Central Standard Time,2020-11-08,16:29:47,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,am i the only one who sometimes doesn’t get anxious eating a meal and u think ur finally getting better then halfway through you wanna throw up and cry? #edtwt,en,[],[],[],0,0,1,['edtwt'],[],https://twitter.com/naivestrawberry/status/1325566212928114694,False,,0,,,,,,,,[],,,,
1325119034447319040,1325118988649705485,2020-11-07 10:52:51 Central Standard Time,2020-11-07,10:52:51,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,BERNIE BERNIE BERNIE*,pl,[],[],[],0,0,0,[],[],https://twitter.com/naivestrawberry/status/1325119034447319040,False,,0,,,,,,,,[],,,,
1325118988649705485,1325118988649705485,2020-11-07 10:52:41 Central Standard Time,2020-11-07,10:52:41,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,BIDEN BIDEN BIDEN!,eu,[],[],[],1,0,0,[],[],https://twitter.com/naivestrawberry/status/1325118988649705485,False,,0,,,,,,,,[],,,,
1325093081482485762,1325093081482485762,2020-11-07 09:09:44 Central Standard Time,2020-11-07,09:09:44,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,i’m so scared that i’m gonna post an #edtwt tweet on my main acc 😂😂,en,[],[],[],0,0,0,['edtwt'],[],https://twitter.com/naivestrawberry/status/1325093081482485762,False,,0,,,,,,,,[],,,,
1324877123207770112,1324853466808963075,2020-11-06 18:51:35 Central Standard Time,2020-11-06,18:51:35,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,"@sodapop_grape if you ever need someone to talk to, my dms are open!!",en,[],[],[],1,0,1,[],[],https://twitter.com/naivestrawberry/status/1324877123207770112,False,,0,,,,,,,,"[{'screen_name': 'sodapop_grape', 'name': 'kalla | edtwt', 'id': '1239092029'}]",,,,
1324823335386128388,1324469491024109568,2020-11-06 15:17:51 Central Standard Time,2020-11-06,15:17:51,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,@brittlebonex why is this so relatable,en,[],[],[],0,0,1,[],[],https://twitter.com/naivestrawberry/status/1324823335386128388,False,,0,,,,,,,,"[{'screen_name': 'brittlebonex', 'name': 'anas whore🦇', 'id': '1105911736006262787'}]",,,,
1324806038630109185,1324744608694341634,2020-11-06 14:09:07 Central Standard Time,2020-11-06,14:09:07,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,@skelebellss oh yeah for sure,en,[],[],[],0,0,0,[],[],https://twitter.com/naivestrawberry/status/1324806038630109185,False,,0,,,,,,,,"[{'screen_name': 'skelebellss', 'name': 'skelebells', 'id': '1324679736904327168'}]",,,,
1324780864258117639,1324780864258117639,2020-11-06 12:29:05 Central Standard Time,2020-11-06,12:29:05,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,put me in one of ur groups chats i’m lonely n fat  #EDtwt,en,[],[],[],0,0,0,['edtwt'],[],https://twitter.com/naivestrawberry/status/1324780864258117639,False,,0,,,,,,,,[],,,,
1324774989774704644,1324744608694341634,2020-11-06 12:05:45 Central Standard Time,2020-11-06,12:05:45,-0600,1301146802461306881,naivestrawberry,Caroline 🚨tw ed🚨,,@skelebellss but lowkey ur kinda right,en,[],[],[],1,0,0,[],[],https://twitter.com/naivestrawberry/status/1324774989774704644,False,,0,,,,,,,,"[{'screen_name': 'skelebellss', 'name': 'skelebells', 'id': '1324679736904327168'}]",,,,
