id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326177762420248578,1326177762420248578,2020-11-10 08:59:52 Central Standard Time,2020-11-10,08:59:52,-0600,3005574512,evlingl,🦐,,I could never take a nap bc Jerry will let mateo cry on purpose so I can wake up and get him,en,[],[],[],0,0,1,[],[],https://twitter.com/EvlingL/status/1326177762420248578,False,,0,,,,,,,,[],,,,
1325967562530643968,1325967562530643968,2020-11-09 19:04:36 Central Standard Time,2020-11-09,19:04:36,-0600,3005574512,evlingl,🦐,,I don’t even feel like taking a shower my energy is low,en,[],[],[],0,0,0,[],[],https://twitter.com/EvlingL/status/1325967562530643968,False,,0,,,,,,,,[],,,,
1325941022774325249,1325941022774325249,2020-11-09 17:19:09 Central Standard Time,2020-11-09,17:19:09,-0600,3005574512,evlingl,🦐,,Anyways my doctor diagnosed me with depression 3 months ago and I have done ✨nothing about it ✨,en,[],[],[],0,0,0,[],[],https://twitter.com/EvlingL/status/1325941022774325249,False,,0,,,,,,,,[],,,,
1325909576357535744,1325900328772882432,2020-11-09 15:14:11 Central Standard Time,2020-11-09,15:14:11,-0600,3005574512,evlingl,🦐,,@MaybeOsby @KidCudi It was the best thing ever,en,[],[],[],0,0,0,[],[],https://twitter.com/EvlingL/status/1325909576357535744,False,,0,,,,,,,,"[{'screen_name': 'MaybeOsby', 'name': 'Maybe Osbysss', 'id': '2573148115'}, {'screen_name': 'KidCudi', 'name': 'The Chosen One', 'id': '243287822'}]",,,,
1325900328772882432,1325900328772882432,2020-11-09 14:37:27 Central Standard Time,2020-11-09,14:37:27,-0600,3005574512,evlingl,🦐,,@KidCudi I almost fainted #smokersclub,en,[],[],[],1,1,1,['smokersclub'],[],https://twitter.com/EvlingL/status/1325900328772882432,False,https://twitter.com/evlingl/status/991428863254118400,0,,,,,,,,[],,,,
1325899772188717057,1325899772188717057,2020-11-09 14:35:14 Central Standard Time,2020-11-09,14:35:14,-0600,3005574512,evlingl,🦐,,miss you,en,[],[],[],0,0,0,[],[],https://twitter.com/EvlingL/status/1325899772188717057,False,https://twitter.com/EvlingL/status/1038195833349451776,0,,,,,,,,[],,,,
1325852792213266432,1325852792213266432,2020-11-09 11:28:33 Central Standard Time,2020-11-09,11:28:33,-0600,3005574512,evlingl,🦐,,I just wish I was fucking rich,en,[],[],[],0,0,1,[],[],https://twitter.com/EvlingL/status/1325852792213266432,False,,0,,,,,,,,[],,,,
1325852255329742848,1325852255329742848,2020-11-09 11:26:25 Central Standard Time,2020-11-09,11:26:25,-0600,3005574512,evlingl,🦐,,"I feel like I’m dead , I’m alive , but I’m dead",en,[],[],[],0,3,3,[],[],https://twitter.com/EvlingL/status/1325852255329742848,False,,0,,,,,,,,[],,,,
1325831464814981121,1325831464814981121,2020-11-09 10:03:48 Central Standard Time,2020-11-09,10:03:48,-0600,3005574512,evlingl,🦐,,These dreams are too vivid bro I hate it,en,[],[],[],0,0,0,[],[],https://twitter.com/EvlingL/status/1325831464814981121,False,,0,,,,,,,,[],,,,
1325647152505253888,1325647152505253888,2020-11-08 21:51:25 Central Standard Time,2020-11-08,21:51:25,-0600,3005574512,evlingl,🦐,,"On god why the hell does depression exist , shit feels like you’re drowning and screaming but nobody can hear you",en,[],[],[],0,0,2,[],[],https://twitter.com/EvlingL/status/1325647152505253888,False,,0,,,,,,,,[],,,,
