id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326201452734386177,1326201452734386177,2020-11-10 10:34:00 Central Standard Time,2020-11-10,10:34:00,-0600,1058202205067661312,gabe__28,Gabriel Morales,,#HeartlandHoliday #SmithworksSweepstakes  @Juniiorroseee @SmithworksVodka,und,"[{'screen_name': 'juniiorroseee', 'name': 'cass ✨', 'id': '2263354363'}, {'screen_name': 'smithworksvodka', 'name': 'smithworks vodka', 'id': '4351417757'}]",[],[],0,0,0,"['heartlandholiday', 'smithworkssweepstakes']",[],https://twitter.com/Gabe__28/status/1326201452734386177,False,https://twitter.com/blakeshelton/status/1325159745821421572,0,,,,,,,,[],,,,
1326045900628750337,1326045900628750337,2020-11-10 00:15:54 Central Standard Time,2020-11-10,00:15:54,-0600,1058202205067661312,gabe__28,Gabriel Morales,,Weeeeeeeee @trippieredd #pegasus #trippieredd #TripOrTreat  https://t.co/RFjoPUHg0Z,und,"[{'screen_name': 'trippieredd', 'name': 'trippie redd', 'id': '1929686113'}]",[],['https://pbs.twimg.com/media/EmcPt3TW8AA_2ht.jpg'],0,0,0,"['pegasus', 'trippieredd', 'triportreat']",[],https://twitter.com/Gabe__28/status/1326045900628750337,False,,1,https://pbs.twimg.com/media/EmcPt3TW8AA_2ht.jpg,,,,,,,[],,,,
1326026350478684160,1325937353962217472,2020-11-09 22:58:12 Central Standard Time,2020-11-09,22:58:12,-0600,1058202205067661312,gabe__28,Gabriel Morales,,@juniiorxzz @josephbaezo Gabriel_morales28,es,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1326026350478684160,False,,0,,,,,,,,"[{'screen_name': 'juniiorxzz', 'name': '𝕵 King ⚜️(top 0.5%)', 'id': '1274486657094483973'}, {'screen_name': 'josephbaezo', 'name': 'ᴊøeч 🐺', 'id': '1001183504'}]",,,,
1326025838178029568,1326008362421657600,2020-11-09 22:56:10 Central Standard Time,2020-11-09,22:56:10,-0600,1058202205067661312,gabe__28,Gabriel Morales,,@sophiemoniquem Follow me 😂 Gabebabe28,in,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1326025838178029568,False,,0,,,,,,,,"[{'screen_name': 'sophiemoniquem', 'name': 'Sophia', 'id': '575374707'}]",,,,
1325594333773434880,1325478192338055173,2020-11-08 18:21:32 Central Standard Time,2020-11-08,18:21:32,-0600,1058202205067661312,gabe__28,Gabriel Morales,,@KENS5 This is Trippie ❤️  https://t.co/XgIyNyH7Fi,en,[],[],['https://pbs.twimg.com/media/EmV1A6mXEAQcYKt.jpg'],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325594333773434880,False,,1,https://pbs.twimg.com/media/EmV1A6mXEAQcYKt.jpg,,,,,,,"[{'screen_name': 'KENS5', 'name': 'KENS 5', 'id': '46326721'}]",,,,
1325586270169538562,1325586270169538562,2020-11-08 17:49:29 Central Standard Time,2020-11-08,17:49:29,-0600,1058202205067661312,gabe__28,Gabriel Morales,,When is it going to get cold again 😪,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325586270169538562,False,,0,,,,,,,,[],,,,
1325550260740104193,1325550260740104193,2020-11-08 15:26:24 Central Standard Time,2020-11-08,15:26:24,-0600,1058202205067661312,gabe__28,Gabriel Morales,,@Selenasuxxs I love you 😢❤️,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325550260740104193,False,,0,,,,,,,,[],,,,
1325296293451882497,1325296293451882497,2020-11-07 22:37:13 Central Standard Time,2020-11-07,22:37:13,-0600,1058202205067661312,gabe__28,Gabriel Morales,,I love @chrissyteigen ❤️🤩,en,"[{'screen_name': 'chrissyteigen', 'name': 'chrissy teigen', 'id': '39364684'}]",[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325296293451882497,False,,0,,,,,,,,[],,,,
1325295547595575297,1325295547595575297,2020-11-07 22:34:16 Central Standard Time,2020-11-07,22:34:16,-0600,1058202205067661312,gabe__28,Gabriel Morales,,I’m fucking done 😂😂😂💀💀,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325295547595575297,False,https://twitter.com/moses10gonzales/status/1325261065525977088,0,,,,,,,,[],,,,
1325153120926707712,1325153120926707712,2020-11-07 13:08:18 Central Standard Time,2020-11-07,13:08:18,-0600,1058202205067661312,gabe__28,Gabriel Morales,,I love them 😂😂😍,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325153120926707712,False,https://twitter.com/chrissyteigen/status/1325131708329566208,0,,,,,,,,[],,,,
1325116504325697538,1325116504325697538,2020-11-07 10:42:48 Central Standard Time,2020-11-07,10:42:48,-0600,1058202205067661312,gabe__28,Gabriel Morales,,My eyes are watering 🤩,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325116504325697538,False,,0,,,,,,,,[],,,,
1325115560716349441,1325115560716349441,2020-11-07 10:39:03 Central Standard Time,2020-11-07,10:39:03,-0600,1058202205067661312,gabe__28,Gabriel Morales,,Did the internet just break? 😂,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325115560716349441,False,,0,,,,,,,,[],,,,
1325092161562533888,1325013495444889600,2020-11-07 09:06:04 Central Standard Time,2020-11-07,09:06:04,-0600,1058202205067661312,gabe__28,Gabriel Morales,,@jhasua_x Same dude counting ballots making orders at whata?,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1325092161562533888,False,,0,,,,,,,,"[{'screen_name': 'jhasua_x', 'name': 'jha 🤘🏾', 'id': '3004315706'}]",,,,
1325091918699769858,1325091918699769858,2020-11-07 09:05:07 Central Standard Time,2020-11-07,09:05:07,-0600,1058202205067661312,gabe__28,Gabriel Morales,,"There’s so much new music, idk where to start 😂  https://t.co/RNFMpBqrHw",en,[],[],"['https://pbs.twimg.com/media/EmOsE4GXcAAQ5q9.jpg', 'https://pbs.twimg.com/media/EmOsE4GXYAAaTX5.jpg']",0,0,0,[],[],https://twitter.com/Gabe__28/status/1325091918699769858,False,,1,https://pbs.twimg.com/media/EmOsE4GXcAAQ5q9.jpg,,,,,,,[],,,,
1324874912683728896,1324874912683728896,2020-11-06 18:42:48 Central Standard Time,2020-11-06,18:42:48,-0600,1058202205067661312,gabe__28,Gabriel Morales,,Who’s winning? 😂💀,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324874912683728896,False,https://twitter.com/Chiefytv/status/1324018805966659584,0,,,,,,,,[],,,,
1324391116288962566,1324391116288962566,2020-11-05 10:40:22 Central Standard Time,2020-11-05,10:40:22,-0600,1058202205067661312,gabe__28,Gabriel Morales,,This fasting sucks 😅🥴,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324391116288962566,False,,0,,,,,,,,[],,,,
1324390108892696576,1324390108892696576,2020-11-05 10:36:22 Central Standard Time,2020-11-05,10:36:22,-0600,1058202205067661312,gabe__28,Gabriel Morales,,$gabe9417,eu,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324390108892696576,False,https://twitter.com/JeffreeStar/status/1324372378672156674,0,,,,,,,,[],,,,
1324316885643628545,1324316885643628545,2020-11-05 05:45:24 Central Standard Time,2020-11-05,05:45:24,-0600,1058202205067661312,gabe__28,Gabriel Morales,,😂😂😂😂,und,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324316885643628545,False,https://twitter.com/Nosoycuero/status/1324122834013020162,0,,,,,,,,[],,,,
1324124977449345025,1324124977449345025,2020-11-04 17:02:50 Central Standard Time,2020-11-04,17:02:50,-0600,1058202205067661312,gabe__28,Gabriel Morales,,Ms. Littleton don’t fuck around 😂💪🏽,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324124977449345025,False,https://twitter.com/30secfight/status/1323853059718598657,0,,,,,,,,[],,,,
1324107635478593536,1324104051643027458,2020-11-04 15:53:55 Central Standard Time,2020-11-04,15:53:55,-0600,1058202205067661312,gabe__28,Gabriel Morales,,@dyphrent Mont Blanc,fr,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324107635478593536,False,,0,,,,,,,,"[{'screen_name': 'dyphrent', 'name': 'Nick Sanchez', 'id': '548645870'}]",,,,
1324084989722529793,1324084989722529793,2020-11-04 14:23:56 Central Standard Time,2020-11-04,14:23:56,-0600,1058202205067661312,gabe__28,Gabriel Morales,,Wasted votes bro,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324084989722529793,False,https://twitter.com/News4SA/status/1324077972719095808,0,,,,,,,,[],,,,
1324062045453561861,1324062045453561861,2020-11-04 12:52:46 Central Standard Time,2020-11-04,12:52:46,-0600,1058202205067661312,gabe__28,Gabriel Morales,,So I was just diagnosed with depression and anxiety from my doctor. Denied the medication going to do this my way I know I am strong. 💪🏽❤️,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324062045453561861,False,,0,,,,,,,,[],,,,
1324041637190918150,1324041637190918150,2020-11-04 11:31:40 Central Standard Time,2020-11-04,11:31:40,-0600,1058202205067661312,gabe__28,Gabriel Morales,,“Chuuuuuuuupaaaaaaaa” Mi verga 💀,es,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324041637190918150,False,https://twitter.com/Erikaajulissaa/status/1323861909309919232,0,,,,,,,,[],,,,
1324039502365659141,1324039502365659141,2020-11-04 11:23:11 Central Standard Time,2020-11-04,11:23:11,-0600,1058202205067661312,gabe__28,Gabriel Morales,,Prediction  270 Biden  264 Trump I hope to god 💪🏽😉,en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324039502365659141,False,,0,,,,,,,,[],,,,
1324014505697988608,1324014505697988608,2020-11-04 09:43:51 Central Standard Time,2020-11-04,09:43:51,-0600,1058202205067661312,gabe__28,Gabriel Morales,,"Time to get my life back on track, I have to do this for me. 💪🏽",en,[],[],[],0,0,0,[],[],https://twitter.com/Gabe__28/status/1324014505697988608,False,,0,,,,,,,,[],,,,
