id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326143867486269440,1326143867486269440,2020-11-10 06:45:11 Central Standard Time,2020-11-10,06:45:11,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,Gon is short for gonzales,en,[],[],[],0,0,0,[],[],https://twitter.com/vdlmr/status/1326143867486269440,False,,0,,,,,,,,[],,,,
1326126877593853952,1326126877593853952,2020-11-10 05:37:40 Central Standard Time,2020-11-10,05:37:40,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,Bawal talaga ako lumabas snfndndnen,tl,[],[],[],0,0,0,[],[],https://twitter.com/vdlmr/status/1326126877593853952,False,,0,,,,,,,,[],,,,
1326080544728178691,1326075308596887552,2020-11-10 02:33:33 Central Standard Time,2020-11-10,02:33:33,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,@fischfront Brrrr  https://t.co/VTdrOeTfVX,und,[],[],['https://pbs.twimg.com/media/EmcvOj_U8AAJNmW.jpg'],0,0,1,[],[],https://twitter.com/vdlmr/status/1326080544728178691,False,,1,https://pbs.twimg.com/media/EmcvOj_U8AAJNmW.jpg,,,,,,,"[{'screen_name': 'fischfront', 'name': 'ً', 'id': '2259853891'}]",,,,
1326069167783510016,1326069167783510016,2020-11-10 01:48:21 Central Standard Time,2020-11-10,01:48:21,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,I have associated a song with emotions time to cry,en,[],[],[],0,0,1,[],[],https://twitter.com/vdlmr/status/1326069167783510016,False,,0,,,,,,,,[],,,,
1326041053925838849,1326041053925838849,2020-11-09 23:56:38 Central Standard Time,2020-11-09,23:56:38,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,YES,und,[],[],[],0,0,1,[],[],https://twitter.com/vdlmr/status/1326041053925838849,False,https://twitter.com/quenblackwell/status/1326023148089696256,0,,,,,,,,[],,,,
1326028409034715136,1326028409034715136,2020-11-09 23:06:23 Central Standard Time,2020-11-09,23:06:23,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,My mom said that I always look sleepy can you guys please confirm that or maybe she's just joking,en,[],[],[],0,0,0,[],[],https://twitter.com/vdlmr/status/1326028409034715136,False,,0,,,,,,,,[],,,,
1326014367855357953,1326014367855357953,2020-11-09 22:10:36 Central Standard Time,2020-11-09,22:10:36,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,Monopoly,hu,[],[],[],0,0,0,[],[],https://twitter.com/vdlmr/status/1326014367855357953,False,,0,,,,,,,,[],,,,
1325787662897147906,1325787342062301185,2020-11-09 07:09:45 Central Standard Time,2020-11-09,07:09:45,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,Also you shouldn't think about what people might think after your child does that. That was a whack response and that's another one on my list of sentences to weaponize ❤️,en,[],[],[],1,0,3,[],[],https://twitter.com/vdlmr/status/1325787662897147906,False,,0,,,,,,,,[],,,,
1325787342062301185,1325787342062301185,2020-11-09 07:08:28 Central Standard Time,2020-11-09,07:08:28,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,"""anong iisipin ng mga tao dun saten kapag ginawa mo yun?"" my father says after I expressed suicidal thoughts 😃 I have a love/hate relationship with my surname bc of that",en,[],[],[],1,0,5,[],[],https://twitter.com/vdlmr/status/1325787342062301185,False,,0,,,,,,,,[],,,,
1325784640959885312,1325784640959885312,2020-11-09 06:57:44 Central Standard Time,2020-11-09,06:57:44,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,"Pasensya ka na ha, godbless na lang",tl,[],[],[],1,0,1,[],[],https://twitter.com/vdlmr/status/1325784640959885312,False,https://twitter.com/fischfront/status/1325764569667493889,0,,,,,,,,[],,,,
1325753188708855808,1325753188708855808,2020-11-09 04:52:46 Central Standard Time,2020-11-09,04:52:46,-0600,1100419473989726208,vdlmr,eve⁷ is crying,,Kala nya nakikipagbiruan tayo sa kanya ah 😃,tl,[],[],[],0,0,1,[],[],https://twitter.com/vdlmr/status/1325753188708855808,False,https://twitter.com/classycessie/status/1325752671232430080,0,,,,,,,,[],,,,
