id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1261946550726488064,1261945547117613056,2020-05-17 04:07:58 Central Daylight Time,2020-05-17,04:07:58,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,@bear_ncan2 nσthíng wrσng αвσut вєíng αlσnє αnd hαppч.,cs,[],[],[],1,4,42,[],[],https://twitter.com/depressingmsgs/status/1261946550726488064,False,,0,,,,,,,,"[{'screen_name': 'bear_ncan2', 'name': 'from home🏡💚', 'id': '926134435291938821'}]",,,,
1261940882493673472,1261890743871791109,2020-05-17 03:45:26 Central Daylight Time,2020-05-17,03:45:26,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,@LouThrivingADHD hєrє wє gσ...  αgαín,und,[],[],[],0,2,22,[],[],https://twitter.com/depressingmsgs/status/1261940882493673472,False,,0,,,,,,,,"[{'screen_name': 'LouThrivingADHD', 'name': 'Lou Brown', 'id': '914040275470770176'}]",,,,
1261623711502753792,1261623711502753792,2020-05-16 06:45:07 Central Daylight Time,2020-05-16,06:45:07,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,"the real reason why you're sad? you're attached to people who have been distant with you. you're paying attention to people who ignore you. you make time for people who are ""too busy"" for you. you're too caring to people who are care less when it comes to you. let those people go",en,[],[],[],139,3915,9313,[],[],https://twitter.com/depressingmsgs/status/1261623711502753792,False,,0,,,,,,,,[],,,,
1261569392854265857,1244669888968495110,2020-05-16 03:09:16 Central Daylight Time,2020-05-16,03:09:16,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,"@thunderxthights That sounds like fun,  well done it's always nervous when we start something new,",en,[],[],[],0,0,13,[],[],https://twitter.com/depressingmsgs/status/1261569392854265857,False,,0,,,,,,,,"[{'screen_name': 'thunderxthights', 'name': 'unloved', 'id': '2169257565'}]",,,,
1255897758520705026,1254958121086332928,2020-04-30 11:32:13 Central Daylight Time,2020-04-30,11:32:13,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,@Prettyinthin ◽💜,und,[],[],[],0,0,4,[],[],https://twitter.com/depressingmsgs/status/1255897758520705026,False,,0,,,,,,,,"[{'screen_name': 'Prettyinthin', 'name': 'Battling Bulimia', 'id': '1349495088'}]",,,,
1255541688166055937,1255538340490702850,2020-04-29 11:57:19 Central Daylight Time,2020-04-29,11:57:19,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,"@miker0896 Yes that's true,  but you cared enough to try but never take it personally",en,[],[],[],0,0,9,[],[],https://twitter.com/depressingmsgs/status/1255541688166055937,False,,0,,,,,,,,"[{'screen_name': 'miker0896', 'name': 'Mike', 'id': '773702975776784384'}]",,,,
1255537912491343872,1255537912491343872,2020-04-29 11:42:19 Central Daylight Time,2020-04-29,11:42:19,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,my biggest problem is overthinking everything,en,[],[],[],63,4595,8087,[],[],https://twitter.com/depressingmsgs/status/1255537912491343872,False,,0,,,,,,,,[],,,,
1255524270521761792,1255524270521761792,2020-04-29 10:48:07 Central Daylight Time,2020-04-29,10:48:07,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,the worst sadness is the sadness you've taught yourself to hide.,en,[],[],[],25,4635,8513,[],[],https://twitter.com/depressingmsgs/status/1255524270521761792,False,,0,,,,,,,,[],,,,
1255524059334365186,1255524059334365186,2020-04-29 10:47:16 Central Daylight Time,2020-04-29,10:47:16,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,i cannot make you understand. i cannot make anyone understand what is happening inside me. i cannot even explain it to myself.,en,[],[],[],31,5319,8515,[],[],https://twitter.com/depressingmsgs/status/1255524059334365186,False,,0,,,,,,,,[],,,,
1255501391025618946,1254958121086332928,2020-04-29 09:17:12 Central Daylight Time,2020-04-29,09:17:12,-0600,1012824523,depressingmsgs,Depression Quotes™➰,,"@Prettyinthin You're not a fraud nor fake! It's never okay what you went through,  it changes you as a person for ever Own what happened and own it was not okay what happened to you,  stop making excuses for other people's cruel and abusive behaviour. It was never ever your fault sweetheart 💜",en,[],[],[],1,0,4,[],[],https://twitter.com/depressingmsgs/status/1255501391025618946,False,,0,,,,,,,,"[{'screen_name': 'Prettyinthin', 'name': 'Battling Bulimia', 'id': '1349495088'}]",,,,
